Datetime,Generated power_1481 (kW),Ambient temperature_1482 (degree C),Irradiance_1483 (W/m2),PV module temperature_1484 (C)
2022-02-01 00:00:00,0.0,26.43,,26.43
2022-02-01 00:15:00,0.0,26.4167,,26.4167
2022-02-01 00:30:00,0.0,26.39,,26.39
2022-02-01 00:45:00,0.0,26.31,,26.31
2022-02-01 01:00:00,0.0,26.3067,,26.3067
2022-02-01 01:15:00,0.0,26.3067,,26.3067
2022-02-01 01:30:00,0.0,26.34,,26.34
2022-02-01 01:45:00,0.0,26.3,,26.3
2022-02-01 02:00:00,0.0,26.2467,,26.2467
2022-02-01 02:15:00,0.0,26.2367,,26.2367
2022-02-01 02:30:00,0.0,26.1167,,26.1167
2022-02-01 02:45:00,0.0,26.0567,,26.0567
2022-02-01 03:00:00,0.0,26.0367,,26.0367
2022-02-01 03:15:00,0.0,26.0233,,26.0233
2022-02-01 03:30:00,0.0,25.9033,,25.9033
2022-02-01 03:45:00,0.0,25.9333,,25.9333
2022-02-01 04:00:00,0.0,25.8767,,25.8767
2022-02-01 04:15:00,0.0,25.8,,25.8
2022-02-01 04:30:00,0.0,25.8267,,25.8267
2022-02-01 04:45:00,0.0,25.81,,25.81
2022-02-01 05:00:00,0.0,25.7433,,25.7433
2022-02-01 05:15:00,0.0,25.7567,,25.7567
2022-02-01 05:30:00,0.0,25.7133,,25.7133
2022-02-01 05:45:00,0.0,25.7867,,25.7867
2022-02-01 06:00:00,0.0,25.6367,,25.6367
2022-02-01 06:15:00,0.0,25.64,,25.64
2022-02-01 06:30:00,0.4,25.7333,2.0,25.7333
2022-02-01 06:45:00,2.4,25.8,9.0,25.8
2022-02-01 07:00:00,8.0,26.1233,30.0,26.1233
2022-02-01 07:15:00,10.4,27.08,44.0,27.08
2022-02-01 07:30:00,16.0,27.71,63.0,27.71
2022-02-01 07:45:00,22.8,28.5067,89.0,28.5067
2022-02-01 08:00:00,36.0,30.3567,132.0,30.3567
2022-02-01 08:15:00,52.4,32.2433,193.0,32.2433
2022-02-01 08:30:00,48.4,32.9133,178.0,32.9133
2022-02-01 08:45:00,69.2,35.0167,267.0,35.0167
2022-02-01 09:00:00,72.0,35.3067,291.0,35.3067
2022-02-01 09:15:00,92.0,36.5333,351.0,36.5333
2022-02-01 09:30:00,88.0,35.9733,320.0,35.9733
2022-02-01 09:45:00,92.0,38.8133,368.0,38.8133
2022-02-01 10:00:00,140.0,39.86,474.0,39.86
2022-02-01 10:15:00,168.0,43.6033,601.0,43.6033
2022-02-01 10:30:00,204.0,47.21,698.0,47.21
2022-02-01 10:45:00,196.0,48.97,735.0,48.97
2022-02-01 11:00:00,212.0,50.3267,763.0,50.3267
2022-02-01 11:15:00,188.0,51.6433,713.0,51.6433
2022-02-01 11:30:00,160.0,48.0467,601.0,48.0467
2022-02-01 11:45:00,168.0,47.04,643.0,47.04
2022-02-01 12:00:00,168.0,47.8633,646.0,47.8633
2022-02-01 12:15:00,136.0,46.1333,535.0,46.1333
2022-02-01 12:30:00,216.0,46.4667,799.0,46.4667
2022-02-01 12:45:00,152.0,47.49,591.0,47.49
2022-02-01 13:00:00,148.0,45.6767,513.0,45.6767
2022-02-01 13:15:00,168.0,44.8167,608.0,44.8167
2022-02-01 13:30:00,220.0,50.2367,816.0,50.2367
2022-02-01 13:45:00,144.0,49.0067,583.0,49.0067
2022-02-01 14:00:00,184.0,47.0267,640.0,47.0267
2022-02-01 14:15:00,140.0,47.7133,518.0,47.7133
2022-02-01 14:30:00,168.0,47.2133,570.0,47.2133
2022-02-01 14:45:00,156.0,46.7967,570.0,46.7967
2022-02-01 15:00:00,148.0,45.92,520.0,45.92
2022-02-01 15:15:00,148.0,45.55,513.0,45.55
2022-02-01 15:30:00,128.0,45.1933,451.0,45.1933
2022-02-01 15:45:00,112.0,43.6967,399.0,43.6967
2022-02-01 16:00:00,92.0,42.3267,346.0,42.3267
2022-02-01 16:15:00,76.0,41.2967,300.0,41.2967
2022-02-01 16:30:00,60.0,39.0333,244.0,39.0333
2022-02-01 16:45:00,36.0,37.7367,189.0,37.7367
2022-02-01 17:00:00,28.0,36.1,150.0,36.1
2022-02-01 17:15:00,20.0,34.5,105.0,34.5
2022-02-01 17:30:00,8.0,32.74,61.0,32.74
2022-02-01 17:45:00,8.0,30.62,26.0,30.62
2022-02-01 18:00:00,0.0,29.4367,8.0,29.4367
2022-02-01 18:15:00,0.0,28.7267,0.0,28.7267
2022-02-01 18:30:00,0.0,28.2633,,28.2633
2022-02-01 18:45:00,0.0,27.98,,27.98
2022-02-01 19:00:00,0.0,27.8733,,27.8733
2022-02-01 19:15:00,0.0,27.7867,,27.7867
2022-02-01 19:30:00,0.0,27.67,,27.67
2022-02-01 19:45:00,0.0,27.5833,,27.5833
2022-02-01 20:00:00,0.0,27.4467,,27.4467
2022-02-01 20:15:00,0.0,27.2867,,27.2867
2022-02-01 20:30:00,0.0,27.2833,,27.2833
2022-02-01 20:45:00,0.0,27.3367,,27.3367
2022-02-01 21:00:00,0.0,27.29,,27.29
2022-02-01 21:15:00,0.0,27.2,,27.2
2022-02-01 21:30:00,0.0,27.1078,,27.1078
2022-02-01 21:45:00,0.0,27.13,,27.13
2022-02-01 22:00:00,0.0,27.03,,27.03
2022-02-01 22:15:00,0.0,27.08,,27.08
2022-02-01 22:30:00,0.0,27.05,,27.05
2022-02-01 22:45:00,0.0,27.0733,,27.0733
2022-02-01 23:00:00,0.0,27.0567,,27.0567
2022-02-01 23:15:00,0.0,26.92,,26.92
2022-02-01 23:30:00,0.0,26.9933,,26.9933
2022-02-01 23:45:00,0.0,27.13,,27.13
2022-02-02 00:00:00,0.0,27.54,,27.54
2022-02-02 00:15:00,0.0,27.7067,,27.7067
2022-02-02 00:30:00,0.0,27.3733,,27.3733
2022-02-02 00:45:00,0.0,27.45,,27.45
2022-02-02 01:00:00,0.0,27.2133,,27.2133
2022-02-02 01:15:00,0.0,26.8767,,26.8767
2022-02-02 01:30:00,0.0,26.7933,,26.7933
2022-02-02 01:45:00,0.0,26.6567,,26.6567
2022-02-02 02:00:00,0.0,26.4867,,26.4867
2022-02-02 02:15:00,0.0,26.3333,,26.3333
2022-02-02 02:30:00,0.0,26.2,,26.2
2022-02-02 02:45:00,0.0,26.0567,,26.0567
2022-02-02 03:00:00,0.0,26.12,,26.12
2022-02-02 03:15:00,0.0,26.0767,,26.0767
2022-02-02 03:30:00,0.0,26.13,,26.13
2022-02-02 03:45:00,0.0,26.1467,,26.1467
2022-02-02 04:00:00,0.0,26.11,,26.11
2022-02-02 04:15:00,0.0,26.17,,26.17
2022-02-02 04:30:00,0.0,26.07,,26.07
2022-02-02 04:45:00,0.0,25.95,,25.95
2022-02-02 05:00:00,0.0,25.89,,25.89
2022-02-02 05:15:00,0.0,25.9467,,25.9467
2022-02-02 05:30:00,0.0,26.0833,,26.0833
2022-02-02 05:45:00,0.0,26.0,,26.0
2022-02-02 06:00:00,0.0,25.8933,,25.8933
2022-02-02 06:15:00,0.0,25.88,,25.88
2022-02-02 06:30:00,0.0,25.9067,0.0,25.9067
2022-02-02 06:45:00,2.0,26.0767,7.0,26.0767
2022-02-02 07:00:00,5.6,26.3567,23.0,26.3567
2022-02-02 07:15:00,10.8,26.7667,41.0,26.7667
2022-02-02 07:30:00,17.6,27.9367,66.0,27.9367
2022-02-02 07:45:00,31.2,29.3867,107.0,29.3867
2022-02-02 08:00:00,48.0,31.5233,201.0,31.5233
2022-02-02 08:15:00,64.0,33.21,248.0,33.21
2022-02-02 08:30:00,72.0,35.4333,272.0,35.4333
2022-02-02 08:45:00,93.6,36.4067,344.0,36.4067
2022-02-02 09:00:00,104.0,38.85,398.0,38.85
2022-02-02 09:15:00,120.0,40.7033,454.0,40.7033
2022-02-02 09:30:00,116.0,42.2733,409.0,42.2733
2022-02-02 09:45:00,100.0,39.94,366.0,39.94
2022-02-02 10:00:00,124.0,42.1867,456.0,42.1867
2022-02-02 10:15:00,60.0,37.9133,221.0,37.9133
2022-02-02 10:30:00,84.0,36.31,325.0,36.31
2022-02-02 10:45:00,176.0,41.71,602.0,41.71
2022-02-02 11:00:00,108.0,45.2633,402.0,45.2633
2022-02-02 11:15:00,148.0,42.7167,522.0,42.7167
2022-02-02 11:30:00,196.0,48.4567,767.0,48.4567
2022-02-02 11:45:00,140.0,47.08,496.0,47.08
2022-02-02 12:00:00,156.0,47.3,576.0,47.3
2022-02-02 12:15:00,200.0,48.6867,720.0,48.6867
2022-02-02 12:30:00,220.0,51.1933,818.0,51.1933
2022-02-02 12:45:00,176.0,52.29,656.0,52.29
2022-02-02 13:00:00,144.0,48.4533,539.0,48.4533
2022-02-02 13:15:00,152.0,47.6867,558.0,47.6867
2022-02-02 13:30:00,220.0,50.6833,817.0,50.6833
2022-02-02 13:45:00,156.0,49.15,585.0,49.15
2022-02-02 14:00:00,144.0,46.59,550.0,46.59
2022-02-02 14:15:00,144.0,45.97,541.0,45.97
2022-02-02 14:30:00,100.0,41.7,369.0,41.7
2022-02-02 14:45:00,112.0,41.42,436.0,41.42
2022-02-02 15:00:00,124.0,42.9633,445.0,42.9633
2022-02-02 15:15:00,56.0,38.4433,209.0,38.4433
2022-02-02 15:30:00,52.0,35.0267,195.0,35.0267
2022-02-02 15:45:00,116.0,37.6333,400.0,37.6333
2022-02-02 16:00:00,88.0,39.75,309.0,39.75
2022-02-02 16:15:00,76.0,40.5233,314.0,40.5233
2022-02-02 16:30:00,60.0,38.23,243.0,38.23
2022-02-02 16:45:00,36.0,37.4667,176.0,37.4667
2022-02-02 17:00:00,32.0,34.8067,147.0,34.8067
2022-02-02 17:15:00,20.0,32.6033,80.0,32.6033
2022-02-02 17:30:00,16.0,31.4767,82.0,31.4767
2022-02-02 17:45:00,8.0,30.5333,32.0,30.5333
2022-02-02 18:00:00,0.0,29.56,8.0,29.56
2022-02-02 18:15:00,0.0,28.7867,0.0,28.7867
2022-02-02 18:30:00,0.0,28.31,,28.31
2022-02-02 18:45:00,0.0,28.0533,,28.0533
2022-02-02 19:00:00,0.0,27.8867,,27.8867
2022-02-02 19:15:00,0.0,27.6533,,27.6533
2022-02-02 19:30:00,0.0,27.5633,,27.5633
2022-02-02 19:45:00,0.0,27.4967,,27.4967
2022-02-02 20:00:00,0.0,27.4133,,27.4133
2022-02-02 20:15:00,0.0,27.43,,27.43
2022-02-02 20:30:00,0.0,27.39,,27.39
2022-02-02 20:45:00,0.0,27.26,,27.26
2022-02-02 21:00:00,0.0,27.2,,27.2
2022-02-02 21:15:00,0.0,27.0867,,27.0867
2022-02-02 21:30:00,0.0,27.1567,,27.1567
2022-02-02 21:45:00,0.0,27.3967,,27.3967
2022-02-02 22:00:00,0.0,27.3533,,27.3533
2022-02-02 22:15:00,0.0,27.12,,27.12
2022-02-02 22:30:00,0.0,26.9267,,26.9267
2022-02-02 22:45:00,0.0,26.9933,,26.9933
2022-02-02 23:00:00,0.0,26.91,,26.91
2022-02-02 23:15:00,0.0,26.9667,,26.9667
2022-02-02 23:30:00,0.0,27.0933,,27.0933
2022-02-02 23:45:00,0.0,27.0767,,27.0767
2022-02-03 00:00:00,0.0,26.9167,,26.9167
2022-02-03 00:15:00,0.0,26.8567,,26.8567
2022-02-03 00:30:00,0.0,27.0933,,27.0933
2022-02-03 00:45:00,0.0,27.2467,,27.2467
2022-02-03 01:00:00,0.0,27.5067,,27.5067
2022-02-03 01:15:00,0.0,27.5333,,27.5333
2022-02-03 01:30:00,0.0,27.2567,,27.2567
2022-02-03 01:45:00,0.0,26.8167,,26.8167
2022-02-03 02:00:00,0.0,26.4067,,26.4067
2022-02-03 02:15:00,0.0,26.25,,26.25
2022-02-03 02:30:00,0.0,25.9933,,25.9933
2022-02-03 02:45:00,0.0,25.9967,,25.9967
2022-02-03 03:00:00,0.0,26.04,,26.04
2022-02-03 03:15:00,0.0,26.0033,,26.0033
2022-02-03 03:30:00,0.0,25.7711,,25.7711
2022-02-03 03:45:00,0.0,25.5533,,25.5533
2022-02-03 04:00:00,0.0,25.4967,,25.4967
2022-02-03 04:15:00,0.0,25.6233,,25.6233
