Datetime,Generated power_1373 (kW),Ambient temperature_1374 (degree C),Irradiance_1375 (W/m2),PV module temperature_1376 (C)
2022-02-01 00:00:00,0.0,36.0,0.0,21.475
2022-02-01 00:15:00,0.0,36.0,0.0,21.13333
2022-02-01 00:30:00,0.0,35.0,0.0,20.76667
2022-02-01 00:45:00,0.0,35.0,0.0,20.61667
2022-02-01 01:00:00,0.0,35.0,0.0,20.55833
2022-02-01 01:15:00,0.0,35.0,0.0,20.66667
2022-02-01 01:30:00,0.0,35.0,0.0,20.75
2022-02-01 01:45:00,0.0,35.0,0.0,20.7
2022-02-01 02:00:00,0.0,35.0,0.0,20.59167
2022-02-01 02:15:00,0.0,35.0,0.0,20.28333
2022-02-01 02:30:00,0.0,35.0,0.0,19.93333
2022-02-01 02:45:00,0.0,35.0,0.0,19.76667
2022-02-01 03:00:00,0.0,34.0,0.0,19.06667
2022-02-01 03:15:00,0.0,34.0,0.0,18.34167
2022-02-01 03:30:00,0.0,34.0,0.0,18.025
2022-02-01 03:45:00,0.0,34.0,0.0,18.46667
2022-02-01 04:00:00,0.0,34.0,0.0,18.65
2022-02-01 04:15:00,0.0,34.0,0.0,19.09167
2022-02-01 04:30:00,0.0,34.0,0.0,19.41667
2022-02-01 04:45:00,0.0,34.0,0.0,18.41667
2022-02-01 05:00:00,0.0,34.0,0.0,18.35
2022-02-01 05:15:00,0.0,33.0,0.0,18.425
2022-02-01 05:30:00,0.0,33.0,0.0,18.7
2022-02-01 05:45:00,0.0,33.0,0.0,19.6
2022-02-01 06:00:00,0.0,33.0,0.0,19.85833
2022-02-01 06:15:00,0.0,33.0,0.03237233,19.75
2022-02-01 06:30:00,0.0,33.0,1.683361,19.20833
2022-02-01 06:45:00,0.0,33.0,14.76178,18.65833
2022-02-01 07:00:00,0.0,34.0,29.84728,18.85833
2022-02-01 07:15:00,0.0,33.0,62.73756,20.3
2022-02-01 07:30:00,0.0,33.0,70.79827,22.2
2022-02-01 07:45:00,0.0,34.0,91.51657,23.225
2022-02-01 08:00:00,0.0,35.0,121.9789,25.34167
2022-02-01 08:15:00,0.0,35.0,257.4895,27.34167
2022-02-01 08:30:00,0.0,35.0,342.5639,31.71667
2022-02-01 08:45:00,0.0,36.0,401.8053,35.20833
2022-02-01 09:00:00,0.0,36.0,476.3588,38.775
2022-02-01 09:15:00,0.0,37.0,537.3806,41.68333
2022-02-01 09:30:00,0.0,37.0,600.0858,44.56667
2022-02-01 09:45:00,0.0,38.0,667.7763,47.34167
2022-02-01 10:00:00,0.0,35.0,657.4496,49.45833
2022-02-01 10:15:00,0.0,39.0,428.4801,49.33333
2022-02-01 10:30:00,0.0,40.0,659.4566,48.28333
2022-02-01 10:45:00,0.0,40.0,607.3696,51.725
2022-02-01 11:00:00,0.0,41.0,821.1888,53.16667
2022-02-01 11:15:00,0.0,42.0,640.2275,54.33333
2022-02-01 11:30:00,0.0,41.0,514.4286,51.525
2022-02-01 11:45:00,0.0,41.0,516.1443,48.73333
2022-02-01 12:00:00,0.0,42.0,339.0677,45.95
2022-02-01 12:15:00,0.0,42.0,831.8392,48.08333
2022-02-01 12:30:00,0.0,42.0,637.9614,52.40833
2022-02-01 12:45:00,0.0,42.0,892.6345,53.0
2022-02-01 13:00:00,0.0,42.0,759.6813,55.48333
2022-02-01 13:15:00,0.0,42.0,774.9611,56.15833
2022-02-01 13:30:00,0.0,42.0,596.3306,52.14167
2022-02-01 13:45:00,0.0,42.0,808.2398,53.60833
2022-02-01 14:00:00,0.0,42.0,736.0819,53.9
2022-02-01 14:15:00,0.0,43.0,764.6019,53.93333
2022-02-01 14:30:00,0.0,43.0,782.4067,54.39167
2022-02-01 14:45:00,0.0,43.0,732.2944,53.95
2022-02-01 15:00:00,0.0,43.0,639.9361,52.79167
2022-02-01 15:15:00,0.0,41.0,563.6993,51.64167
2022-02-01 15:30:00,0.0,43.0,329.2913,48.675
2022-02-01 15:45:00,0.0,43.0,337.4815,43.23333
2022-02-01 16:00:00,0.0,43.0,370.3394,42.88611
2022-02-01 16:15:00,0.0,42.0,320.5508,41.65
2022-02-01 16:30:00,0.0,42.0,285.8152,40.45833
2022-02-01 16:45:00,0.0,41.0,216.3119,39.36666
2022-02-01 17:00:00,0.0,41.0,154.9663,36.96667
2022-02-01 17:15:00,0.0,42.0,102.5555,34.84167
2022-02-01 17:30:00,0.0,42.0,55.6804,33.04167
2022-02-01 17:45:00,0.0,42.0,18.35511,31.275
2022-02-01 18:00:00,0.0,41.0,2.168946,29.54167
2022-02-01 18:15:00,0.0,41.0,0.0,28.35833
2022-02-01 18:30:00,0.0,41.0,0.0,28.05833
2022-02-01 18:45:00,0.0,40.0,0.0,27.825
2022-02-01 19:00:00,0.0,40.0,0.0,27.60833
2022-02-01 19:15:00,0.0,40.0,0.0,26.95
2022-02-01 19:30:00,0.0,40.0,0.0,26.55
2022-02-01 19:45:00,0.0,39.0,0.0,26.64167
2022-02-01 20:00:00,0.0,39.0,0.0,27.30833
2022-02-01 20:15:00,0.0,39.0,0.0,27.725
2022-02-01 20:30:00,0.0,39.0,0.0,27.50833
2022-02-01 20:45:00,0.0,40.0,0.0,27.03333
2022-02-01 21:00:00,0.0,39.0,0.0,26.29167
2022-02-01 21:15:00,0.0,39.0,0.0,25.61667
2022-02-01 21:30:00,0.0,39.0,0.0,25.34167
2022-02-01 21:45:00,0.0,39.0,0.0,25.225
2022-02-01 22:00:00,0.0,36.0,0.0,25.2
2022-02-01 22:15:00,0.0,38.0,0.0,25.2
2022-02-01 22:30:00,0.0,38.0,0.0,25.44167
2022-02-01 22:45:00,0.0,38.0,0.0,26.18333
2022-02-01 23:00:00,0.0,38.0,0.0,26.3
2022-02-01 23:15:00,0.0,38.0,0.0,26.3
2022-02-01 23:30:00,0.0,38.0,0.0,26.175
2022-02-01 23:45:00,0.0,38.0,0.0,25.74167
2022-02-02 00:00:00,0.0,38.0,0.0,25.09167
2022-02-02 00:15:00,0.0,37.0,0.0,24.425
2022-02-02 00:30:00,0.0,37.0,0.0,24.2
2022-02-02 00:45:00,0.0,37.0,0.0,24.35
2022-02-02 01:00:00,0.0,37.0,0.0,23.98333
2022-02-02 01:15:00,0.0,37.0,0.0,23.6
2022-02-02 01:30:00,0.0,37.0,0.0,23.38333
2022-02-02 01:45:00,0.0,36.0,0.0,23.4
2022-02-02 02:00:00,0.0,37.0,0.0,23.78333
2022-02-02 02:15:00,0.0,36.0,0.0,24.23333
2022-02-02 02:30:00,0.0,36.0,0.0,24.35833
2022-02-02 02:45:00,0.0,37.0,0.0,23.78333
2022-02-02 03:00:00,0.0,36.0,0.0,23.15833
2022-02-02 03:15:00,0.0,36.0,0.0,22.825
2022-02-02 03:30:00,0.0,36.0,0.0,23.03333
2022-02-02 03:45:00,0.0,36.0,0.0,22.95833
2022-02-02 04:00:00,0.0,35.0,0.0,23.08333
2022-02-02 04:15:00,0.0,35.0,0.0,23.2
2022-02-02 04:30:00,0.0,35.0,0.0,22.91667
2022-02-02 04:45:00,0.0,35.0,0.0,22.425
2022-02-02 05:00:00,0.0,35.0,0.0,22.03333
2022-02-02 05:15:00,0.0,35.0,0.0,21.24167
2022-02-02 05:30:00,0.0,35.0,0.0,20.675
2022-02-02 05:45:00,0.0,35.0,0.0,20.5
2022-02-02 06:00:00,0.0,35.0,0.0,20.525
2022-02-02 06:15:00,0.0,35.0,0.0,20.83333
2022-02-02 06:30:00,0.0,34.0,1.909967,20.58333
2022-02-02 06:45:00,0.0,35.0,18.06376,20.825
2022-02-02 07:00:00,0.0,35.0,45.54786,21.95833
2022-02-02 07:15:00,0.0,34.0,72.83773,22.9
2022-02-02 07:30:00,0.0,34.0,89.4771,23.74167
2022-02-02 07:45:00,0.0,35.0,107.3143,25.1
2022-02-02 08:00:00,0.0,35.0,129.1008,28.0
2022-02-02 08:15:00,0.0,36.0,224.9229,31.20833
2022-02-02 08:30:00,0.0,36.0,323.6585,34.54167
2022-02-02 08:45:00,0.0,36.0,406.7906,37.46667
2022-02-02 09:00:00,0.0,37.0,453.5686,40.69167
2022-02-02 09:15:00,0.0,37.0,429.3218,41.68333
2022-02-02 09:30:00,0.0,35.0,487.2035,42.66667
2022-02-02 09:45:00,0.0,39.0,579.5941,43.73333
2022-02-02 10:00:00,0.0,38.0,547.2865,46.04167
2022-02-02 10:15:00,0.0,39.0,532.9132,44.96667
2022-02-02 10:30:00,0.0,39.0,747.8654,48.2
2022-02-02 10:45:00,0.0,40.0,809.211,51.6
2022-02-02 11:00:00,0.0,40.0,708.2417,52.16667
2022-02-02 11:15:00,0.0,40.0,425.955,50.325
2022-02-02 11:30:00,0.0,40.0,561.5303,45.46667
2022-02-02 11:45:00,0.0,40.0,560.5592,47.94167
2022-02-02 12:00:00,0.0,40.0,475.2581,45.88334
2022-02-02 12:15:00,0.0,40.0,716.4643,48.53333
2022-02-02 12:30:00,0.0,41.0,778.4897,50.04167
2022-02-02 12:45:00,0.0,41.0,810.3116,52.70833
2022-02-02 13:00:00,0.0,41.0,480.6319,49.49166
2022-02-02 13:15:00,0.0,41.0,721.0935,49.09167
2022-02-02 13:30:00,0.0,41.0,449.9753,51.44167
2022-02-02 13:45:00,0.0,41.0,296.3039,44.91667
2022-02-02 14:00:00,0.0,41.0,239.102,41.75
2022-02-02 14:15:00,0.0,41.0,374.0298,40.275
2022-02-02 14:30:00,0.0,41.0,343.2114,41.85833
2022-02-02 14:45:00,0.0,41.0,327.2194,41.43333
2022-02-02 15:00:00,0.0,40.0,353.5382,41.80833
2022-02-02 15:15:00,0.0,41.0,432.041,44.71667
2022-02-02 15:30:00,0.0,41.0,126.0255,43.46667
2022-02-02 15:45:00,0.0,41.0,68.72644,37.10833
2022-02-02 16:00:00,0.0,41.0,59.69456,33.85
2022-02-02 16:15:00,0.0,40.0,181.026,31.95
2022-02-02 16:30:00,0.0,40.0,238.584,32.79167
2022-02-02 16:45:00,0.0,40.0,184.587,32.74166
2022-02-02 17:00:00,0.0,37.0,162.2501,31.04167
2022-02-02 17:15:00,0.0,38.0,98.15289,29.73333
2022-02-02 17:30:00,0.0,37.0,57.16953,28.49167
2022-02-02 17:45:00,0.0,37.0,9.420347,26.83333
2022-02-02 18:00:00,0.0,37.0,1.230149,25.84167
2022-02-02 18:15:00,0.0,37.0,0.0,25.38333
2022-02-02 18:30:00,0.0,36.0,0.0,25.18333
2022-02-02 18:45:00,0.0,37.0,0.0,24.98333
2022-02-02 19:00:00,0.0,37.0,0.0,24.5
2022-02-02 19:15:00,0.0,36.0,0.0,24.06667
2022-02-02 19:30:00,0.0,36.0,0.0,23.70833
2022-02-02 19:45:00,0.0,36.0,0.0,23.65
2022-02-02 20:00:00,0.0,36.0,0.0,24.13333
2022-02-02 20:15:00,0.0,36.0,0.0,24.475
2022-02-02 20:30:00,0.0,36.0,0.0,24.14167
2022-02-02 20:45:00,0.0,35.0,0.0,24.04167
2022-02-02 21:00:00,0.0,36.0,0.0,24.4
2022-02-02 21:15:00,0.0,36.0,0.0,24.85
2022-02-02 21:30:00,0.0,36.0,0.0,24.53333
2022-02-02 21:45:00,0.0,36.0,0.0,23.95833
2022-02-02 22:00:00,0.0,36.0,0.0,23.70833
2022-02-02 22:15:00,0.0,35.0,0.0,23.7
2022-02-02 22:30:00,0.0,36.0,0.0,23.69167
2022-02-02 22:45:00,0.0,35.0,0.0,23.55
2022-02-02 23:00:00,0.0,35.0,0.0,23.21667
2022-02-02 23:15:00,0.0,35.0,0.0,22.56667
2022-02-02 23:30:00,0.0,36.0,0.0,22.04167
2022-02-02 23:45:00,0.0,35.0,0.0,21.69167
2022-02-03 00:00:00,0.0,36.0,0.0,21.125
2022-02-03 00:15:00,0.0,35.0,0.0,20.75833
2022-02-03 00:30:00,0.0,35.0,0.0,20.36667
2022-02-03 00:45:00,0.0,35.0,0.0,20.525
2022-02-03 01:00:00,0.0,35.0,0.0,20.50833
2022-02-03 01:15:00,0.0,35.0,0.0,19.96667
2022-02-03 01:30:00,0.0,34.0,0.0,20.14167
2022-02-03 01:45:00,0.0,35.0,0.0,20.075
2022-02-03 02:00:00,0.0,35.0,0.0,20.15833
2022-02-03 02:15:00,0.0,34.0,0.0,19.875
2022-02-03 02:30:00,0.0,35.0,0.0,19.76667
2022-02-03 02:45:00,0.0,34.0,0.0,19.65
2022-02-03 03:00:00,0.0,34.0,0.0,20.50833
2022-02-03 03:15:00,0.0,34.0,0.0,21.10833
2022-02-03 03:30:00,0.0,34.0,0.0,21.14167
2022-02-03 03:45:00,0.0,34.0,0.0,20.98333
2022-02-03 04:00:00,0.0,34.0,0.0,20.66667
2022-02-03 04:15:00,0.0,34.0,0.0,20.56667
2022-02-03 04:30:00,0.0,34.0,0.0,20.79167
2022-02-03 04:45:00,0.0,34.0,0.0,21.18333
2022-02-03 05:00:00,0.0,34.0,0.0,21.475
2022-02-03 05:15:00,0.0,34.0,0.0,21.40833
2022-02-03 05:30:00,0.0,34.0,0.0,21.375
2022-02-03 05:45:00,0.0,33.0,0.0,21.04167
2022-02-03 06:00:00,0.0,34.0,0.0,20.63333
2022-02-03 06:15:00,0.0,34.0,0.0,20.68333
2022-02-03 06:30:00,0.0,33.0,1.262521,21.225
2022-02-03 06:45:00,0.0,34.0,8.48155,21.4
2022-02-03 07:00:00,0.0,34.0,31.91911,21.7
2022-02-03 07:15:00,0.0,33.0,59.3061,22.275
2022-02-03 07:30:00,0.0,34.0,95.88682,23.25833
2022-02-03 07:45:00,0.0,34.0,133.7301,24.475
2022-02-03 08:00:00,0.0,34.0,153.1535,25.425
2022-02-03 08:15:00,0.0,35.0,256.8096,27.65833
2022-02-03 08:30:00,0.0,35.0,321.2306,31.86667
2022-02-03 08:45:00,0.0,35.0,307.5695,33.125
2022-02-03 09:00:00,0.0,36.0,369.3358,34.88334
2022-02-03 09:15:00,0.0,36.0,518.7665,38.425
2022-02-03 09:30:00,0.0,36.0,568.4257,41.90833
2022-02-03 09:45:00,0.0,37.0,581.3422,45.5
2022-02-03 10:00:00,0.0,38.0,589.0792,46.13334
2022-02-03 10:15:00,0.0,40.0,429.8397,44.9
2022-02-03 10:30:00,0.0,38.0,408.5064,42.54167
2022-02-03 10:45:00,0.0,39.0,506.6916,43.21667
2022-02-03 11:00:00,0.0,39.0,485.1964,45.075
2022-02-03 11:15:00,0.0,39.0,435.3754,44.075
2022-02-03 11:30:00,0.0,39.0,557.322,44.98333
2022-02-03 11:45:00,0.0,39.0,786.6799,49.325
2022-02-03 12:00:00,0.0,40.0,892.6021,55.03333
2022-02-03 12:15:00,0.0,41.0,931.3842,58.70833
2022-02-03 12:30:00,0.0,41.0,494.3254,56.79167
2022-02-03 12:45:00,0.0,41.0,316.925,48.78333
2022-02-03 13:00:00,0.0,41.0,287.79,42.86666
2022-02-03 13:15:00,0.0,40.0,274.5497,39.175
2022-02-03 13:30:00,0.0,40.0,416.0815,37.375
2022-02-03 13:45:00,0.0,40.0,738.7041,43.33333
2022-02-03 14:00:00,0.0,40.0,758.5159,48.475
2022-02-03 14:15:00,0.0,40.0,621.8076,49.88334
2022-02-03 14:30:00,0.0,40.0,434.0481,44.925
2022-02-03 14:45:00,0.0,40.0,505.2025,43.35
2022-02-03 15:00:00,0.0,40.0,307.8608,41.74166
2022-02-03 15:15:00,0.0,40.0,517.1479,43.26667
2022-02-03 15:30:00,0.0,40.0,192.3887,41.98333
2022-02-03 15:45:00,0.0,40.0,234.9583,37.49166
2022-02-03 16:00:00,0.0,40.0,357.1962,38.175
2022-02-03 16:15:00,0.0,40.0,220.8116,38.025
2022-02-03 16:30:00,0.0,40.0,103.818,35.025
2022-02-03 16:45:00,0.0,40.0,152.3442,33.39167
2022-02-03 17:00:00,0.0,40.0,137.3558,33.35
2022-02-03 17:15:00,0.0,40.0,85.59243,32.51667
2022-02-03 17:30:00,0.0,40.0,41.01574,31.03333
2022-02-03 17:45:00,0.0,40.0,11.20082,29.325
2022-02-03 18:00:00,0.0,40.0,1.650989,27.86667
2022-02-03 18:15:00,0.0,40.0,0.0,26.75833
2022-02-03 18:30:00,0.0,39.0,0.0,25.98333
2022-02-03 18:45:00,0.0,39.0,0.0,25.44167
2022-02-03 19:00:00,0.0,39.0,0.0,25.29167
2022-02-03 19:15:00,0.0,39.0,0.0,25.00833
2022-02-03 19:30:00,0.0,38.0,0.0,24.975
2022-02-03 19:45:00,0.0,38.0,0.0,24.90833
2022-02-03 20:00:00,0.0,38.0,0.0,24.96667
2022-02-03 20:15:00,0.0,36.0,0.0,24.975
2022-02-03 20:30:00,0.0,36.0,0.0,24.79167
2022-02-03 20:45:00,0.0,39.0,0.0,24.53333
2022-02-03 21:00:00,0.0,39.0,0.0,24.4
2022-02-03 21:15:00,0.0,37.0,0.0,24.4
2022-02-03 21:30:00,0.0,37.0,0.0,24.58333
2022-02-03 21:45:00,0.0,37.0,0.0,25.05
2022-02-03 22:00:00,0.0,37.0,0.0,25.29167
2022-02-03 22:15:00,0.0,37.0,0.0,25.3
2022-02-03 22:30:00,0.0,37.0,0.0,25.35833
2022-02-03 22:45:00,0.0,37.0,0.0,25.39167
2022-02-03 23:00:00,0.0,36.0,0.0,25.3
2022-02-03 23:15:00,0.0,36.0,0.0,25.13333
2022-02-03 23:30:00,0.0,37.0,0.0,24.7
2022-02-03 23:45:00,0.0,36.0,0.0,24.89167
2022-02-04 00:00:00,0.0,36.0,0.0,24.78333
2022-02-04 00:15:00,0.0,36.0,0.0,24.725
2022-02-04 00:30:00,0.0,37.0,0.0,24.99167
2022-02-04 00:45:00,0.0,36.0,0.0,24.68333
2022-02-04 01:00:00,0.0,36.0,0.0,24.1
2022-02-04 01:15:00,0.0,36.0,0.0,23.625
2022-02-04 01:30:00,0.0,36.0,0.0,23.24167
2022-02-04 01:45:00,0.0,35.0,0.0,22.76667
2022-02-04 02:00:00,0.0,35.0,0.0,22.39167
2022-02-04 02:15:00,0.0,34.0,0.0,22.15
2022-02-04 02:30:00,0.0,35.0,0.0,22.15
2022-02-04 02:45:00,0.0,35.0,0.0,22.325
2022-02-04 03:00:00,0.0,35.0,0.0,22.125
2022-02-04 03:15:00,0.0,35.0,0.0,21.88333
2022-02-04 03:30:00,0.0,34.0,0.0,21.28333
2022-02-04 03:45:00,0.0,34.0,0.0,21.06667
2022-02-04 04:00:00,0.0,34.0,0.0,21.675
2022-02-04 04:15:00,0.0,34.0,0.0,22.39167
2022-02-04 04:30:00,0.0,34.0,0.0,22.475
2022-02-04 04:45:00,0.0,34.0,0.0,22.28333
2022-02-04 05:00:00,0.0,34.0,0.0,21.59167
2022-02-04 05:15:00,0.0,33.0,0.0,21.05833
2022-02-04 05:30:00,0.0,33.0,0.0,20.5
2022-02-04 05:45:00,0.0,33.0,0.0,20.15
2022-02-04 06:00:00,0.0,33.0,0.0,20.43333
2022-02-04 06:15:00,0.0,33.0,0.0,20.64167
